HPHM,STIME,PATH,FX
hp458,1900/01/01 17:03:00,40094006-40064003,直-左
hp459,1900/01/01 17:13:00,40024001,左
hp460,1900/01/01 17:08:36,40014002-40024003-40034002-40024005-40054006,直-左-左-左-直
hp461,1900/01/01 17:07:43.098592,40094008-40084005-40054006-40064003,右-右-左-左
hp462,1900/01/01 17:04:54.474616,40064003-40034002-40024001-40014004-40044001,左-直-左-左-左
hp463,1900/01/01 17:10:23.298775,40064009-40094008,右-左
hp464,1900/01/01 17:04:38.571429,40014004-40044005-40054008-40084009,左-右-左-直
hp465,1900/01/01 17:05:21.910112,40074008,右
hp466,1900/01/01 17:06:00,40024001,左
hp467,1900/01/01 17:03:00,40094006-40064003,直-右
hp468,1900/01/01 17:09:00,40044001,左
hp469,1900/01/01 17:06:00,40054002,左
hp470,1900/01/01 17:03:00,40084007,左
hp471,1900/01/01 17:10:51.428570,40014004-40044005,左-右
hp472,1900/01/01 17:09:11.428570,40024001-40014002-40024003,左-直-直
hp473,1900/01/01 17:05:22.857143,40074008-40084005-40054006-40064003,左-右-左-右
hp474,1900/01/01 17:12:27.692306,40074008,左
hp475,1900/01/01 17:09:20,40024003,右
hp476,1900/01/01 17:04:28.526380,40014002-40024005-40054006,右-左-左
hp477,1900/01/01 17:07:00,40044007,左
hp478,1900/01/01 17:10:15,40074008-40084009,直-直
hp479,1900/01/01 17:13:47.264410,40094008-40084007-40074004-40044001,直-右-直-左
hp480,1900/01/01 17:04:00,40024005-40054006,左-直
hp481,1900/01/01 17:11:00,40074008-40084009,直-直
hp482,1900/01/01 17:14:40.000002,40024005-40054008,直-直
hp483,1900/01/01 17:04:00,40074004-40044005-40054002-40024003-40034006,右-左-右-右-左
hp484,1900/01/01 17:04:00,40084005-40054004-40044001,左-右-左
hp485,1900/01/01 17:14:30.960079,40094006,右
hp486,1900/01/01 17:09:06.666666,40064005-40054004-40044007,直-左-直
hp487,1900/01/01 17:04:00,40034002-40024001,直-直
hp488,1900/01/01 17:05:56.327633,40034002-40024005-40054008-40084007,左-直-右-左
hp489,1900/01/01 17:13:17.142858,40024005-40054004-40044007-40074008-40084005,右-左-左-左-左
hp490,1900/01/01 17:08:32,40074008-40084005-40054002-40024003,左-直-右-直
hp491,1900/01/01 17:14:01.333695,40014002-40024003,直-右
hp492,1900/01/01 17:07:21.228501,40084005-40054002-40024005,直-左-直
hp493,1900/01/01 17:04:00,40024005-40054008,直-直
hp494,1900/01/01 17:06:12,40034002-40024001,直-直
hp495,1900/01/01 17:09:54.454665,40014004-40044001-40014002-40024005-40054002-40024001,左-右-右-左-左-左
hp496,1900/01/01 17:04:00,40014004-40044007-40074008-40084009,直-左-直-直
hp497,1900/01/01 17:04:00,40084005-40054002,直-左
hp498,1900/01/01 17:04:00,40054006-40064009,右-左
hp499,1900/01/01 17:08:36.019281,40084005-40054002-40024003-40034006-40064009,直-右-右-直-左
hp500,1900/01/01 17:05:42.652044,40074004,直
hp501,1900/01/01 17:06:12.700730,40064005-40054004-40044007,直-左-直
hp502,1900/01/01 17:04:00,40044005-40054008-40084007,右-右-左
hp503,1900/01/01 17:06:08.648649,40034006-40064009,直-左
hp504,1900/01/01 17:11:22.600244,40084005,右
hp505,1900/01/01 17:08:12,40074004,直
hp506,1900/01/01 17:06:03.134068,40034002-40024005-40054008,左-直-直
hp507,1900/01/01 17:04:00,40064005-40054002-40024001,右-左-左
hp508,1900/01/01 17:04:00,40024005-40054008,直-直
hp509,1900/01/01 17:07:00,40094008,直
hp510,1900/01/01 17:14:00,40074008,右
hp511,1900/01/01 17:13:03.750000,40084005-40054002,直-左
hp512,1900/01/01 17:04:00,40084009-40094008-40084007,左-直-左
hp513,1900/01/01 17:07:00,40054002,右
hp514,1900/01/01 17:14:00,40074008-40084009,直-直
hp515,1900/01/01 17:04:00,40094008-40084007,直-左
hp516,1900/01/01 17:04:00,40014004-40044007,直-直
hp517,1900/01/01 17:07:38.573762,40064005,直
hp518,1900/01/01 17:04:00,40074008-40084009,直-直
hp519,1900/01/01 17:04:00,40094008-40084007,直-左
hp520,1900/01/01 17:08:25.333333,40014002-40024003,直-直
hp521,1900/01/01 17:04:00,40024005-40054004-40044001,右-右-左
hp522,1900/01/01 17:05:10,40074004-40044001,直-左
hp523,1900/01/01 17:04:00,40014004,直
hp524,1900/01/01 17:05:31.177094,40014002-40024003,直-右
hp525,1900/01/01 17:06:57.291462,40084007-40074004,右-直
hp526,1900/01/01 17:14:46.666669,40074008-40084009,直-直
hp527,1900/01/01 17:09:00,40084007,左
hp528,1900/01/01 17:14:28.888888,40064005-40054002-40024001,右-左-左
hp529,1900/01/01 17:05:00,40014002-40024005-40054008,右-直-直
hp530,1900/01/01 17:07:28,40074008-40084009,直-直
hp531,1900/01/01 17:09:32.727272,40094008-40084007,直-左
hp532,1900/01/01 17:06:30,40084007-40074004-40044001,右-直-左
hp533,1900/01/01 17:05:00,40014004,直
hp534,1900/01/01 17:12:15.589785,40014002-40024003,直-右
hp535,1900/01/01 17:05:00,40064009-40094008-40084007,右-直-左
hp536,1900/01/01 17:08:00,40054008,直
hp537,1900/01/01 17:08:42,40094008-40084007,直-左
hp538,1900/01/01 17:05:00,40094006-40064003,直-左
hp539,1900/01/01 17:05:00,40084007-40074008-40084009,左-直-直
hp540,1900/01/01 17:09:00,40074004-40044001,直-左
hp541,1900/01/01 17:05:00,40014002-40024005-40054008,右-直-直
hp542,1900/01/01 17:14:00,40084007,左
hp543,1900/01/01 17:05:00,40064009-40094008,右-左
hp544,1900/01/01 17:08:00,40044005-40054008,右-直
hp545,1900/01/01 17:14:00,40094006,右
hp546,1900/01/01 17:13:00,40094008,左
hp547,1900/01/01 17:08:50.159453,40074008,右
hp548,1900/01/01 17:08:00,40044001,左
hp549,1900/01/01 17:08:00,40084007,左
hp550,1900/01/01 17:08:52.383323,40064005-40054004,直-左
hp551,1900/01/01 17:08:00,40044001,左
hp552,1900/01/01 17:05:00,40054004-40044007,左-直
hp553,1900/01/01 17:05:00,40084005,左
hp554,1900/01/01 17:06:38.058252,40024003-40034006,右-左
hp555,1900/01/01 17:05:00,40054002-40024001,左-直
hp556,1900/01/01 17:05:00,40034006-40064009,直-左
hp557,1900/01/01 17:05:00,40074004-40044001,直-左
hp558,1900/01/01 17:08:00,40084005,右
hp559,1900/01/01 17:08:49.090910,40074008-40084005,左-左
hp560,1900/01/01 17:12:16.240310,40014002-40024003,直-右
hp561,1900/01/01 17:08:20,40034002,左
hp562,1900/01/01 17:05:00,40064005-40054008-40084007,左-右-左
hp563,1900/01/01 17:13:00,40014004-40044007-40074008,直-左-右
hp564,1900/01/01 17:12:00,40074008,左
hp565,1900/01/01 17:08:25.714286,40094008-40084007,直-左
hp566,1900/01/01 17:05:00,40054004-40044007,左-直
hp567,1900/01/01 17:05:00,40074004-40044001,直-左
hp568,1900/01/01 17:06:18,40094008-40084007,直-左
hp569,1900/01/01 17:05:00,40044005-40054008-40084007,右-右-左
hp570,1900/01/01 17:08:00,40094006,左
hp571,1900/01/01 17:05:00,40064003,左
hp572,1900/01/01 17:11:15,40014004-40044005-40054006,左-直-右
hp573,1900/01/01 17:09:40.940280,40094008-40084005-40054002,右-直-左
hp574,1900/01/01 17:15:00,40054002,左
hp575,1900/01/01 17:08:46.666667,40034002-40024001,直-直
hp576,1900/01/01 17:06:55,40024005-40054008,直-直
hp577,1900/01/01 17:06:49.411765,40024003-40034002-40024005-40054006,左-左-左-直
hp578,1900/01/01 17:09:00,40074008-40084009,直-直
hp579,1900/01/01 17:05:00,40054004-40044007-40074008,左-左-右
hp580,1900/01/01 17:08:00,40094008-40084007,直-左
hp581,1900/01/01 17:06:34.285714,40064003-40034002,左-左
hp582,1900/01/01 17:05:00,40084005-40054004-40044007,左-左-直
hp583,1900/01/01 17:09:07.500000,40094008-40084007,直-左
hp584,1900/01/01 17:05:00,40064005-40054008,左-直
hp585,1900/01/01 17:05:21.355932,40014004-40044007-40074008,直-左-右
hp586,1900/01/01 17:08:00,40074004-40044001,直-左
hp587,1900/01/01 17:11:51.141902,40084005-40054004,左-左
hp588,1900/01/01 17:09:00,40084009,左
hp589,1900/01/01 17:06:00,40054006-40064009,右-左
hp590,1900/01/01 17:09:00,40024005,直
hp591,1900/01/01 17:10:48,40084009,直
hp592,1900/01/01 17:06:25.248800,40014004-40044007-40074008-40084009,直-左-直-直
hp593,1900/01/01 17:06:30.102389,40014002-40024005,右-右
hp594,1900/01/01 17:11:00,40094008,左
hp595,1900/01/01 17:06:00,40074008,右
hp596,1900/01/01 17:09:00,40044005-40054006-40064009-40094006-40064003,直-右-左-直-左
hp597,1900/01/01 17:09:00,40074004,直
hp598,1900/01/01 17:07:38.847926,40074008,直
hp599,1900/01/01 17:06:00,40044005-40054008-40084007,右-右-左
hp600,1900/01/01 17:09:00,40014002,右
hp601,1900/01/01 17:06:00,40014002-40024003-40034006,直-右-左
hp602,1900/01/01 17:06:00,40074008-40084009-40094006-40064003-40034002-40024001,直-左-直-左-直-左
hp603,1900/01/01 17:09:00,40044005-40054002,左-左
hp604,1900/01/01 17:09:00,40084005,右
hp605,1900/01/01 17:07:04.334601,40014002,右
hp606,1900/01/01 17:12:36.141062,40014002-40024003,直-右
hp607,1900/01/01 17:12:35.893720,40034002-40024001,直-左
hp608,1900/01/01 17:06:00,40094008-40084007-40074004-40044007,直-右-左-直
hp609,1900/01/01 17:14:45,40024005-40054006-40064009,左-右-左
hp610,1900/01/01 17:11:28.471579,40094006,左
hp611,1900/01/01 17:06:00,40034002-40024001,直-直
hp612,1900/01/01 17:06:00,40094008-40084009,左-直
hp613,1900/01/01 17:14:45,40024003-40034006-40064009,右-直-右
hp614,1900/01/01 17:09:00,40064009-40094008,右-左
hp615,1900/01/01 17:15:00,40064005,直
hp616,1900/01/01 17:13:30,40074008,左
hp617,1900/01/01 17:10:24,40084005-40054004-40044007,左-左-直
hp618,1900/01/01 17:10:00,40084005-40054002-40024001-40014002-40024005-40054008-40084009,直-左-左-右-直-左-直
hp619,1900/01/01 17:06:20.146843,40014004-40044007-40074004-40044007-40074008,直-左-左-左-右
hp620,1900/01/01 17:08:43.636364,40034002,左
hp621,1900/01/01 17:06:34.930693,40014004-40044007-40074008,直-左-右
hp622,1900/01/01 17:06:00,40014004-40044007-40074008,直-左-右
hp623,1900/01/01 17:06:00,40094008-40084007,直-左
hp624,1900/01/01 17:06:00,40034002,左
hp625,1900/01/01 17:06:24.768324,40014002-40024005-40054008-40084009-40094008,右-直-左-左-左
hp626,1900/01/01 17:06:00,40024005-40054008,直-直
hp627,1900/01/01 17:08:54.545454,40094008-40084007,直-左
hp628,1900/01/01 17:07:38.571429,40014002-40024003,直-直
hp629,1900/01/01 17:10:13.333334,40094008-40084007,直-左
hp630,1900/01/01 17:06:00,40014002-40024005-40054008,右-直-直
hp631,1900/01/01 17:06:00,40084005-40054002,直-左
hp632,1900/01/01 17:08:53.975511,40074008-40084005-40054008-40084009-40094008,左-左-左-左-左
hp633,1900/01/01 17:12:00,40014002-40024003,直-直
hp634,1900/01/01 17:08:00,40094008-40084007,直-左
hp635,1900/01/01 17:09:38.823530,40074004-40044001,直-左
hp636,1900/01/01 17:13:06.315790,40084007-40074004-40044001,右-直-左
hp637,1900/01/01 17:09:00,40044001,左
hp638,1900/01/01 17:12:40,40074008-40084009,直-左
hp639,1900/01/01 17:06:00,40014002,右
hp640,1900/01/01 17:13:44.335443,40094008-40084007,直-左
hp641,1900/01/01 17:13:40,40014002-40024003-40034006,直-右-左
hp642,1900/01/01 17:09:49.860279,40094008-40084007-40074004-40044007-40074004-40044001,直-右-左-左-直-左
hp643,1900/01/01 17:07:47.004471,40034002-40024001-40014004-40044007,直-左-直-左
hp644,1900/01/01 17:12:53.684212,40014004-40044007,直-直
hp645,1900/01/01 17:10:04,40074008-40084009-40094008-40084007-40074008-40084007-40074004-40044001,直-左-直-左-左-右-直-左
hp646,1900/01/01 17:07:00,40094008-40084009,左-直
hp647,1900/01/01 17:10:00,40024003,右
hp648,1900/01/01 17:10:00,40024001,左
hp649,1900/01/01 17:10:00,40074004,直
hp650,1900/01/01 17:10:37.529880,40084005-40054002-40024001-40014002-40024005-40054008,直-左-左-右-直-直
hp651,1900/01/01 17:12:24,40014004,直
hp652,1900/01/01 17:13:11.428570,40074008-40084005-40054006-40064003,左-右-左-右
hp653,1900/01/01 17:10:00,40054008,直
hp654,1900/01/01 17:10:00,40024001,左
hp655,1900/01/01 17:10:00,40054008,直
hp656,1900/01/01 17:08:48.663446,40074008,右
hp657,1900/01/01 17:10:00,40034006,左
hp658,1900/01/01 17:11:00.087273,40094008-40084007,直-左
hp659,1900/01/01 17:08:00,40094006-40064003-40034002,直-左-左
hp660,1900/01/01 17:08:38.058252,40024003-40034006,右-直
hp661,1900/01/01 17:10:00,40094008,左
hp662,1900/01/01 17:10:00,40024003,右
hp663,1900/01/01 17:09:45.421774,40064009,左
hp664,1900/01/01 17:12:37.831062,40074008-40084009,直-左
hp665,1900/01/01 17:07:00,40094006-40064003-40034002,直-左-左
hp666,1900/01/01 17:14:00,40044001,左
hp667,1900/01/01 17:07:00,40024005,直
hp668,1900/01/01 17:08:33.594362,40084005-40054002,直-左
hp669,1900/01/01 17:10:00,40054008,直
hp670,1900/01/01 17:14:59.864341,40014002-40024003,直-右
hp671,1900/01/01 17:13:46.773163,40034002,左
hp672,1900/01/01 17:10:00,40054008-40084007,右-左
hp673,1900/01/01 17:10:00,40034002,左
hp674,1900/01/01 17:07:00,40034006-40064003-40034006,左-左-直
hp675,1900/01/01 17:14:39.999999,40014002-40024003,直-直
hp676,1900/01/01 17:10:00,40054008-40084009,左-直
hp677,1900/01/01 17:11:55.864662,40014004-40044007,直-直
hp678,1900/01/01 17:08:59.335385,40024005-40054008-40084007,直-右-左
hp679,1900/01/01 17:09:00,40024003-40034006,右-左
hp680,1900/01/01 17:10:00,40034002-40024001,直-左
hp681,1900/01/01 17:07:00,40024005-40054004-40044001,右-右-左
hp682,1900/01/01 17:09:06.666667,40074004-40044001,直-左
hp683,1900/01/01 17:11:45.106383,40094008-40084007,直-左
hp684,1900/01/01 17:07:00,40074004-40044001,直-左
hp685,1900/01/01 17:10:48,40074008-40084009,直-直
hp686,1900/01/01 17:08:14.915975,40024005-40054008,直-直
hp687,1900/01/01 17:07:00,40044005-40054008-40084009,右-左-直
hp688,1900/01/01 17:14:51.428570,40074008,左
hp689,1900/01/01 17:14:16.363635,40074008,右
hp690,1900/01/01 17:08:40,40084005-40054002,直-左
hp691,1900/01/01 17:07:00,40024005,直
hp692,1900/01/01 17:14:34.285714,40014004-40044007-40074008,直-左-右
hp693,1900/01/01 17:07:00,40084005-40054004-40044001,左-右-左
hp694,1900/01/01 17:07:00,40094006-40064005-40054004-40044001,左-直-右-左
hp695,1900/01/01 17:09:10,40024005-40054008,直-直
hp696,1900/01/01 17:08:46.153846,40034002-40024001,直-直
hp697,1900/01/01 17:12:04.615386,40084005-40054002-40024001,直-左-左
hp698,1900/01/01 17:09:00,40094008,左
hp699,1900/01/01 17:07:00,40094006-40064003-40034002,直-左-左
hp700,1900/01/01 17:11:22.757493,40074008-40084009,直-左
hp701,1900/01/01 17:10:00,40044005-40054008-40084007,右-右-左
hp702,1900/01/01 17:08:40.768212,40094006,左
hp703,1900/01/01 17:07:00,40024001-40014004-40044007,左-直-左
hp704,1900/01/01 17:09:41.486268,40064009-40094008,右-左
hp705,1900/01/01 17:12:36,40094008-40084007,直-左
hp706,1900/01/01 17:12:19.090908,40094008-40084007,直-左
hp707,1900/01/01 17:07:00,40024003,右
hp708,1900/01/01 17:08:55.714286,40024005-40054006-40064009-40094006-40064003-40034002,左-右-左-直-左-左
hp709,1900/01/01 17:10:42,40094008-40084007-40074004-40044005-40054002,直-右-右-左-左
hp710,1900/01/01 17:07:00,40074004-40044001,直-左
hp711,1900/01/01 17:13:10.909092,40014002-40024005-40054002,右-左-左
hp712,1900/01/01 17:11:00,40084007,左
hp713,1900/01/01 17:09:59.760718,40074004,直
hp714,1900/01/01 17:11:00,40044007,直
hp715,1900/01/01 17:11:00,40054004,右
hp716,1900/01/01 17:08:00,40024005-40054008,直-直
hp717,1900/01/01 17:11:00,40084007,左
hp718,1900/01/01 17:11:00,40094008,直
hp719,1900/01/01 17:11:00,40054006,直
hp720,1900/01/01 17:09:37.742885,40084007-40074004,右-直
hp721,1900/01/01 17:08:00,40014002-40024003,直-右
hp722,1900/01/01 17:08:00,40014004,直
hp723,1900/01/01 17:11:00,40074008,直
hp724,1900/01/01 17:09:55.309558,40074008,右
hp725,1900/01/01 17:11:00,40054006,直
hp726,1900/01/01 17:11:00,40064009-40094008-40084007,右-直-左
hp727,1900/01/01 17:11:00,40084005,直
hp728,1900/01/01 17:08:00,40034002,左
hp729,1900/01/01 17:11:00,40014004-40044007-40074008-40084009,直-左-直-直
hp730,1900/01/01 17:08:00,40024005-40054008-40084009,直-左-直
hp731,1900/01/01 17:09:53.364238,40094006,左
hp732,1900/01/01 17:09:22.868606,40074008-40084009-40094006-40064003,直-左-直-左
hp733,1900/01/01 17:09:00,40074008,右
hp734,1900/01/01 17:09:51.797394,40074008,右
hp735,1900/01/01 17:08:00,40044005-40054008-40084007,右-右-左
hp736,1900/01/01 17:08:00,40014004-40044005-40054006-40064005-40054004-40044001,左-直-左-直-右-左
hp737,1900/01/01 17:13:38.571429,40014004-40044001,左-左
hp738,1900/01/01 17:12:30,40074004,直
hp739,1900/01/01 17:10:47.321705,40074008,右
hp740,1900/01/01 17:10:06.300000,40074008,右
hp741,1900/01/01 17:09:49.931973,40024003-40034006-40064009,右-直-左
hp742,1900/01/01 17:08:00,40024005-40054004-40044007,右-左-直
hp743,1900/01/01 17:08:00,40094008-40084007,直-左
hp744,1900/01/01 17:08:00,40054004-40044001,右-左
hp745,1900/01/01 17:08:00,40014004-40044005-40054008-40084009,左-右-左-直
hp746,1900/01/01 17:08:00,40034002,左
hp747,1900/01/01 17:09:37.500000,40074008-40084009,直-直
hp748,1900/01/01 17:10:18.791209,40074008,右
hp749,1900/01/01 17:09:55.309558,40074008,右
hp750,1900/01/01 17:08:00,40054004-40044001,右-左
hp751,1900/01/01 17:09:13.602103,40034006-40064009,直-左
hp752,1900/01/01 17:09:50.936556,40074008-40084009,直-直
hp753,1900/01/01 17:09:49.090909,40034006-40064003-40034002,左-左-左
hp754,1900/01/01 17:13:40,40084009,直
hp755,1900/01/01 17:08:00,40044005-40054008-40084007,右-右-左
hp756,1900/01/01 17:08:00,40084009-40094006,左-右
hp757,1900/01/01 17:13:20,40014004-40044007,直-直
hp758,1900/01/01 17:12:45.592011,40094006,左
hp759,1900/01/01 17:08:00,40094008-40084007,直-左
hp760,1900/01/01 17:11:09.230770,40084007-40074004-40044005-40054002-40024003-40034002-40024001,右-右-左-右-左-直-左
hp761,1900/01/01 17:12:00,40044001,左
hp762,1900/01/01 17:09:00,40034006,左
hp763,1900/01/01 17:09:00,40024005-40054004-40044001,右-右-左
hp764,1900/01/01 17:10:39.395182,40024005-40054006-40064009,左-右-右
hp765,1900/01/01 17:09:00,40044001-40014002-40024005,右-右-右
hp766,1900/01/01 17:09:00,40064003,左
hp767,1900/01/01 17:12:00,40044007,直
hp768,1900/01/01 17:10:54,40034002-40024001,直-直
hp769,1900/01/01 17:12:00,40084009,直
hp770,1900/01/01 17:13:00.087273,40094008-40084007,直-左
hp771,1900/01/01 17:12:00,40054008,直
hp772,1900/01/01 17:12:27.105263,40014004-40044007,直-左
hp773,1900/01/01 17:12:00,40054008,直
hp774,1900/01/01 17:12:00,40094006,左
hp775,1900/01/01 17:12:00,40094006,左
hp776,1900/01/01 17:11:00,40014002,右
hp777,1900/01/01 17:09:00,40024005,左
hp778,1900/01/01 17:12:00,40024001,左
hp779,1900/01/01 17:09:00,40024005,右
hp780,1900/01/01 17:12:00,40044001,左
hp781,1900/01/01 17:09:00,40094006-40064003-40034002,直-左-左
hp782,1900/01/01 17:10:27.272727,40014002-40024003,直-直
hp783,1900/01/01 17:12:00,40054008-40084009,左-直
hp784,1900/01/01 17:09:00,40084009-40094008-40084007-40074004-40044001,左-直-右-直-左
hp785,1900/01/01 17:09:00,40044005-40054002,左-左
hp786,1900/01/01 17:09:00,40034006-40064005-40054004-40044007,右-直-左-直
hp787,1900/01/01 17:15:00,40084009,直
hp788,1900/01/01 17:09:00,40014002-40024003-40034006-40064009-40094006-40064003,直-右-直-左-直-左
hp789,1900/01/01 17:12:00,40044001,左
hp790,1900/01/01 17:09:00,40064005-40054004-40044007,直-左-直
hp791,1900/01/01 17:10:25.800000,40074008,右
hp792,1900/01/01 17:10:52.500000,40024003-40034006-40064009,右-直-左
hp793,1900/01/01 17:09:00,40074004-40044001,直-左
hp794,1900/01/01 17:09:00,40084009-40094006-40064003-40034002-40024001,左-直-左-直-左
hp795,1900/01/01 17:12:00,40064009-40094008-40084007,右-直-左
hp796,1900/01/01 17:13:19.629101,40094006,左
hp797,1900/01/01 17:09:00,40054004-40044001,右-左
hp798,1900/01/01 17:09:00,40094006-40064003-40034002,直-左-左
hp799,1900/01/01 17:11:23.750927,40024005-40054008,直-直
hp800,1900/01/01 17:09:00,40094006-40064003-40034002,直-左-左
hp801,1900/01/01 17:10:10,40074008,右
hp802,1900/01/01 17:09:00,40064005-40054002-40024001,右-左-左
hp803,1900/01/01 17:10:12.057588,40074008,右
hp804,1900/01/01 17:15:00,40024005,左
hp805,1900/01/01 17:10:57.344398,40024005-40054006,左-左
hp806,1900/01/01 17:12:00,40034002-40024005-40054002-40024003-40034002-40024001,左-左-右-左-直-直
hp807,1900/01/01 17:11:38.619869,40024005-40054008,直-直
hp808,1900/01/01 17:13:25.714287,40024003,直
hp809,1900/01/01 17:10:00,40044005-40054008-40084007,右-右-左
hp810,1900/01/01 17:13:00,40064003-40034002,左-左
hp811,1900/01/01 17:10:00,40014004-40044007,直-左
hp812,1900/01/01 17:10:30.102389,40014002-40024005,右-右
hp813,1900/01/01 17:13:53.641434,40064005,右
hp814,1900/01/01 17:11:33.750000,40074008,右
hp815,1900/01/01 17:13:00,40014004,左
hp816,1900/01/01 17:10:00,40024005-40054008-40084007,直-右-左
hp817,1900/01/01 17:13:00,40024003,右
hp818,1900/01/01 17:11:17.616747,40074008,右
hp819,1900/01/01 17:13:00,40024005,直
hp820,1900/01/01 17:13:57.550446,40014002,右
hp821,1900/01/01 17:10:00,40014002-40024003,直-直
hp822,1900/01/01 17:13:00,40084005,直
hp823,1900/01/01 17:14:12,40084009,直
hp824,1900/01/01 17:13:00,40094008,直
hp825,1900/01/01 17:13:00,40084007,左
hp826,1900/01/01 17:10:00,40034006-40064009-40094008,直-右-左
hp827,1900/01/01 17:13:00,40044005-40054008-40084009,右-左-直
hp828,1900/01/01 17:10:00,40024005-40054008-40084009,直-左-直
hp829,1900/01/01 17:10:00,40094006-40064005-40054008-40084007,左-左-右-左
hp830,1900/01/01 17:10:00,40084005-40054002,直-左
hp831,1900/01/01 17:14:00,40084005-40054004-40044001,左-右-左
hp832,1900/01/01 17:10:00,40074008-40084009,直-直
hp833,1900/01/01 17:12:20.578687,40084007-40074004-40044001,右-直-左
hp834,1900/01/01 17:10:00,40044005-40054006,直-直
hp835,1900/01/01 17:10:00,40094008-40084007,直-左
hp836,1900/01/01 17:10:57.681971,40024003-40034006-40064009,右-直-左
hp837,1900/01/01 17:10:00,40094008-40084007,直-左
hp838,1900/01/01 17:10:00,40024005-40054008-40084009,直-左-直
hp839,1900/01/01 17:13:53.671096,40034002-40024001,直-左
hp840,1900/01/01 17:10:00,40024005-40054008-40084007,直-右-左
hp841,1900/01/01 17:13:22.500000,40024003,右
hp842,1900/01/01 17:10:00,40094006-40064003,直-左
hp843,1900/01/01 17:11:41.126071,40074004-40044005-40054002,右-左-左
hp844,1900/01/01 17:13:00,40064003,右
hp845,1900/01/01 17:10:00,40034002-40024001,直-直
hp846,1900/01/01 17:13:00,40074008-40084009,直-左
hp847,1900/01/01 17:10:00,40034006-40064009,直-左
hp848,1900/01/01 17:11:42,40074008,右
hp849,1900/01/01 17:11:00,40024005-40054006,左-直
hp850,1900/01/01 17:14:00,40054008,直
hp851,1900/01/01 17:14:00,40044001,左
hp852,1900/01/01 17:11:00,40074004,直
hp853,1900/01/01 17:14:00,40024003,右
hp854,1900/01/01 17:14:00,40064003,左
hp855,1900/01/01 17:14:00,40094006,左
hp856,1900/01/01 17:13:56.326531,40074008-40084005-40054002,左-直-左
hp857,1900/01/01 17:14:00,40034006,左
hp858,1900/01/01 17:11:00,40014002-40024003,直-直
hp859,1900/01/01 17:14:00,40084007,左
hp860,1900/01/01 17:14:00,40094008,左
hp861,1900/01/01 17:11:00,40014002-40024005-40054006,右-左-直
hp862,1900/01/01 17:13:00,40044007-40074008-40084009,左-直-直
hp863,1900/01/01 17:11:00,40084009-40094006-40064003-40034002,左-直-左-左
hp864,1900/01/01 17:12:40,40024005-40054008-40084005-40054002,直-左-直-左
hp865,1900/01/01 17:13:00,40094008,直
hp866,1900/01/01 17:12:52.977732,40024005-40054008-40084007,直-右-左
hp867,1900/01/01 17:13:10.038810,40034002-40024001-40014004-40044007,直-左-直-直
hp868,1900/01/01 17:14:00,40014004-40044005,左-直
hp869,1900/01/01 17:12:43.636364,40034002-40024003,左-直
hp870,1900/01/01 17:11:00,40014004-40044007,直-直
hp871,1900/01/01 17:12:41.468683,40074004-40044007,左-直
hp872,1900/01/01 17:14:00,40094008,直
hp873,1900/01/01 17:11:00,40044005-40054002,左-左
hp874,1900/01/01 17:12:12.865731,40024005-40054008,直-直
hp875,1900/01/01 17:11:00,40024005-40054006-40064009,左-右-左
hp876,1900/01/01 17:11:00,40094006-40064003,直-左
hp877,1900/01/01 17:14:00,40094008,左
hp878,1900/01/01 17:14:30,40064005-40054004-40044007,直-左-直
hp879,1900/01/01 17:13:00,40034002,左
hp880,1900/01/01 17:11:00,40034006-40064009,直-左
hp881,1900/01/01 17:13:00,40044005-40054008,右-直
hp882,1900/01/01 17:11:00,40034002,左
hp883,1900/01/01 17:13:26.355140,40074004-40044001,直-左
hp884,1900/01/01 17:11:35.119454,40014002-40024005,右-右
hp885,1900/01/01 17:11:00,40014002-40024003,直-右
hp886,1900/01/01 17:11:00,40034002-40024001,直-直
hp887,1900/01/01 17:12:55.079727,40074008,右
hp888,1900/01/01 17:12:00,40054004-40044001,右-左
hp889,1900/01/01 17:12:00,40024005-40054004-40044001,右-右-左
hp890,1900/01/01 17:12:00,40094008-40084007,直-左
hp891,1900/01/01 17:12:00,40064005-40054008,左-直
hp892,1900/01/01 17:14:36,40084007-40074004-40044001-40014002-40024003,右-直-右-直-直
hp893,1900/01/01 17:12:00,40024005-40054008,直-直
hp894,1900/01/01 17:13:38.058252,40024003-40034006,右-直
hp895,1900/01/01 17:13:42.857143,40074004-40044001,直-左
hp896,1900/01/01 17:15:00,40044005-40054008-40084007,右-右-左
hp897,1900/01/01 17:12:00,40064003-40034002,左-左
hp898,1900/01/01 17:15:00,40034002,左
hp899,1900/01/01 17:12:00,40074004-40044001,直-左
hp900,1900/01/01 17:12:00,40084007-40074008-40084009,左-直-直
hp901,1900/01/01 17:12:39.763314,40014004-40044007-40074008,直-左-直
hp902,1900/01/01 17:12:00,40084005-40054002,直-左
hp903,1900/01/01 17:12:00,40074004-40044001,直-左
hp904,1900/01/01 17:15:00,40024003,右
hp905,1900/01/01 17:14:23.530391,40034002-40024001-40014004-40044007,直-左-直-直
hp906,1900/01/01 17:12:38.897464,40014004-40044007,直-直
hp907,1900/01/01 17:15:00,40064009,右
hp908,1900/01/01 17:15:00,40084005,右
hp909,1900/01/01 17:12:00,40084005-40054002-40024003-40034002-40024005,直-右-左-左-右
hp910,1900/01/01 17:12:00,40024003,直
